"replica","omega","sigma_q","sigma_t","phi","eta","shock","calibracion_ok","shock_ok","pib_real_base","pib_real_shock","var_pib_real_pct","var_c_real_pct","var_i_real_pct","var_x_real_pct","var_m_real_pct","delta_tax_pp_pib","delta_u_pp","norm_calibracion","parametro_var","valor_var"
26,1.5,2,1.5,0.116666666666667,0.5,"pit",TRUE,TRUE,282097.798326924,281001.849080976,-0.388499751663396,-0.523741964681335,-0.167315127716849,-0.224284841702771,-0.127521179986279,0.0122553051903923,0.816910002839038,2.47765041939322e-05,"phi",0.116666666666667
26,1.5,2,1.5,0.116666666666667,0.5,"fit",TRUE,TRUE,282097.798326924,282373.032832223,0.0975670518987393,0.0649235818218408,0.25470080330332,0.0372710503553142,0.051213732538602,-0.0664202582801587,-0.212364089825273,2.47765041939322e-05,"phi",0.116666666666667
27,1.5,2,1.5,0.133333333333333,0.5,"iva",TRUE,TRUE,282097.798326924,281767.376825451,-0.117130124174281,-0.136258619862761,-0.0709907350593619,-0.146284898577631,-0.092387717272957,-0.000688920031791107,0.441752451296075,2.47765041939322e-05,"phi",0.133333333333333
27,1.5,2,1.5,0.133333333333333,0.5,"pit",TRUE,TRUE,282097.798326924,281003.071124841,-0.388066553009436,-0.521644388753673,-0.167068615197163,-0.226305977106145,-0.126605967021443,0.00982849024875887,0.81623433287846,2.47765041939322e-05,"phi",0.133333333333333
27,1.5,2,1.5,0.133333333333333,0.5,"fit",TRUE,TRUE,282097.798326924,282372.708421911,0.0974520526631162,0.064397447788922,0.254634408029863,0.0377634279716599,0.0509866420421279,-0.0658225681580721,-0.212056870908411,2.47765041939322e-05,"phi",0.133333333333333
28,1.5,2,1.5,0.15,0.5,"iva",TRUE,TRUE,282097.798326924,281768.053724932,-0.116890172113349,-0.135128788296857,-0.0708546945269117,-0.147359078558307,-0.0918993130070933,-0.00198457654597972,0.441323051547794,2.47765041939322e-05,"phi",0.15
28,1.5,2,1.5,0.15,0.5,"pit",TRUE,TRUE,282097.798326924,281004.286464601,-0.387635730873459,-0.519551292268161,-0.166823448569764,-0.228325522501205,-0.125691329011801,0.00740414619176677,0.815569753483477,2.47765041939322e-05,"phi",0.15
28,1.5,2,1.5,0.15,0.5,"fit",TRUE,TRUE,282097.798326924,282372.386238194,0.0973378427263638,0.0638727820318374,0.254568511575326,0.038255362767381,0.0507598331771275,-0.0652254154729665,-0.211756315077561,2.47765041939322e-05,"phi",0.15
29,1.5,2,1.5,0.1,0.2,"iva",TRUE,TRUE,282097.798326924,281836.461517672,-0.0926404994304741,-0.122532067622438,-0.0249939357945483,-0.124239277073357,-0.0863022603578956,0.0127550833427692,0.388409575643438,2.47765041939322e-05,"eta",0.2
29,1.5,2,1.5,0.1,0.2,"pit",TRUE,TRUE,282097.798326924,281165.583096607,-0.330458172962012,-0.488668714460661,-0.0587942002847175,-0.175295199332848,-0.111716626739689,0.0401988117025603,0.690675534755764,2.47765041939322e-05,"eta",0.2
29,1.5,2,1.5,0.1,0.2,"fit",TRUE,TRUE,282097.798326924,282120.105047368,0.00790744223337914,0.00743092768944464,0.0891815520954076,-0.0340210245439176,0.0263384557732671,-0.105624416893219,-0.0171978882039759,2.47765041939322e-05,"eta",0.2
30,1.5,2,1.5,0.1,0.333333333333333,"iva",TRUE,TRUE,282097.798326924,281807.413186465,-0.102937754984589,-0.129128628185204,-0.0440702284301375,-0.132439678890206,-0.0892136567464008,0.00828178015219727,0.410769339442091,2.47765041939322e-05,"eta",0.333333333333333
30,1.5,2,1.5,0.1,0.333333333333333,"pit",TRUE,TRUE,282097.798326924,281097.534705346,-0.354580442495755,-0.504012972247525,-0.103649537251449,-0.194656127298842,-0.118608467464454,0.0296731732418454,0.743039731902242,2.47765041939322e-05,"eta",0.333333333333333
30,1.5,2,1.5,0.1,0.333333333333333,"fit",TRUE,TRUE,282097.798326924,282224.342384919,0.0448582224835459,0.0312902647688684,0.157364912047409,-0.00484966453261348,0.0366833996708005,-0.08973639890138,-0.0976371275936166,2.47765041939322e-05,"eta",0.333333333333333
31,1.5,2,1.5,0.1,0.466666666666667,"iva",TRUE,TRUE,282097.798326924,281774.798972065,-0.11449906974621,-0.136532180304416,-0.0654920951239313,-0.141650771935797,-0.0924840962343354,0.00325959768343598,0.435871458484034,2.47765041939322e-05,"eta",0.466666666666667
31,1.5,2,1.5,0.1,0.466666666666667,"pit",TRUE,TRUE,282097.798326924,281021.184509292,-0.381645593839197,-0.521213953683797,-0.15399815559024,-0.216401193059246,-0.126350158131938,0.0178648509783386,0.801778710887291,2.47765041939322e-05,"eta",0.466666666666667
31,1.5,2,1.5,0.1,0.466666666666667,"fit",TRUE,TRUE,282097.798326924,282341.681207699,0.0864533088247521,0.0581841334972744,0.234068713930391,0.0279363085545992,0.0483069799269042,-0.0718483462727321,-0.188218114938038,2.47765041939322e-05,"eta",0.466666666666667
32,1.5,2,1.5,0.1,0.6,"iva",TRUE,TRUE,282097.798326924,281737.921314809,-0.127571719541841,-0.144900025817707,-0.0897191826528587,-0.152071083107652,-0.0961841730334756,-0.0024187819873317,0.464251892835032,2.47765041939322e-05,"eta",0.6
32,1.5,2,1.5,0.1,0.6,"pit",TRUE,TRUE,282097.798326924,280934.924881114,-0.412223509969523,-0.540628017674238,-0.210908199531046,-0.24099670292409,-0.135108147202456,0.00452576127407123,0.868124086333463,2.47765041939322e-05,"eta",0.6
32,1.5,2,1.5,0.1,0.6,"fit",TRUE,TRUE,282097.798326924,282474.781594485,0.133635664580356,0.0887362203379594,0.321012387724129,0.0650597548194742,0.0614641584598452,-0.051553548179914,-0.291006626760257,2.47765041939322e-05,"eta",0.6
33,1.5,2,1.5,0.1,0.733333333333333,"iva",TRUE,TRUE,282097.798326924,281695.888655579,-0.14247175048111,-0.154433009153832,-0.117339207632605,-0.163954648702225,-0.10040419857652,-0.00889050881869302,0.496595481619771,2.47765041939322e-05,"eta",0.733333333333333
33,1.5,2,1.5,0.1,0.733333333333333,"pit",TRUE,TRUE,282097.798326924,280836.707948375,-0.447040135026877,-0.562708154855307,-0.27574163130798,-0.269038042626779,-0.145095021209163,-0.0106600230878828,0.943643891574175,2.47765041939322e-05,"eta",0.733333333333333
33,1.5,2,1.5,0.1,0.733333333333333,"fit",TRUE,TRUE,282097.798326924,282627.084399863,0.187625027943494,0.123755580403273,0.420416817696068,0.10745233727314,0.0764832997933729,-0.0283257306341572,-0.408676793857921,2.47765041939322e-05,"eta",0.733333333333333
34,1.5,2,1.5,0.1,0.866666666666667,"iva",TRUE,TRUE,282097.798326924,281647.543237421,-0.159609572344532,-0.165391693941985,-0.149115721926008,-0.177631713175497,-0.105261608522778,-0.0163336579639267,0.533791318700923,2.47765041939322e-05,"eta",0.866666666666667
34,1.5,2,1.5,0.1,0.866666666666667,"pit",TRUE,TRUE,282097.798326924,280723.885330787,-0.487034285373988,-0.588038778052224,-0.35026171733461,-0.301297223711861,-0.156586522809044,-0.0281009313603586,1.03036469831105,2.47765041939322e-05,"eta",0.866666666666667
